"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"19/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"32930,94";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"19/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"69280,43";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"37568,12";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"29370,34";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"61789,43";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"33951,06";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"26531,16";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"55829,83";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"24/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"30761,41";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"24/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"24034,28";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"24/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"50580,74";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"53844,52";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"42141,52";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"25/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"88602,58";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"44692,43";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"34919,64";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"26/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"73488,17";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"27/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"30928,80";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"27/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"24160,84";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"27/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"50852,08";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"48679,24";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"38058,95";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"80066,14";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"05/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"50499,67";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
